word,difficulty,genre_ids,genre_names,hint_count,hints
Delfin,2,2,Natur & Tiere,4,"Sonar~A_TARGET_VIBE~2,Flosse~A_TARGET_VIBE~2,Bugwelle~A_TARGET_VIBE~3,Sprung~A_TARGET_VIBE~2"
Aal,2,1|2,Essen & Trinken|Natur & Tiere,4,"Netz~A_TARGET_VIBE~2,Brandung~A_TARGET_VIBE~3,Salz~A_TARGET_VIBE~2,Anker~A_TARGET_VIBE~2"
Abendrot,3,11,Wetter & Himmel,5,"Horizont~A_TARGET_VIBE~3,Glühen~A_TARGET_VIBE~2,Schatten~A_TARGET_VIBE~3,orange~A_TARGET_VIBE~2,Sonnenuntergang~A_TARGET_VIBE~3"
Adler,3,2,Natur & Tiere,5,"Wappen~A_TARGET_VIBE~2,Thermik~A_TARGET_VIBE~3,Klaue~A_TARGET_VIBE~2,Kreisflug~A_TARGET_VIBE~3,Felswand~A_TARGET_VIBE~3"
Affe,1,2,Natur & Tiere,4,"Liane~A_TARGET_VIBE~2,Dschungel~A_TARGET_VIBE~2,Kletterast~A_TARGET_VIBE~2,Bananenschale~A_TARGET_VIBE~2"
Ahorn,2,2,Natur & Tiere,4,"Herbstlaub~A_TARGET_VIBE~3,Sirup~A_TARGET_VIBE~2,Flügelsamen~A_TARGET_VIBE~3,Parkallee~A_TARGET_VIBE~3"
Albatros,4,2,Natur & Tiere,6,"Tiefsee~A_TARGET_VIBE~3,Gleitflug~A_TARGET_VIBE~3,Sturmwind~A_TARGET_VIBE~3,Bugwelle~A_TARGET_VIBE~3,Salzluft~A_TARGET_VIBE~3,Horizont~A_TARGET_VIBE~3"
Alge,3,2,Natur & Tiere,5,"Küste~A_TARGET_VIBE~2,Aquarium~A_TARGET_VIBE~3,Glitsch~A_TARGET_VIBE~3,Gezeiten~A_TARGET_VIBE~3,Nährstoff~A_TARGET_VIBE~3"
Alpaka,3,2,Natur & Tiere,5,"Anden~A_TARGET_VIBE~2,Wolle~A_TARGET_VIBE~2,Herde~A_TARGET_VIBE~2,Weide~A_TARGET_VIBE~2,Zottel~A_TARGET_VIBE~2"
Ameise,1,2,Natur & Tiere,4,"Straße~A_TARGET_VIBE~2,Krümel~A_TARGET_VIBE~2,Bau~A_TARGET_VIBE~2,Pheromon~A_TARGET_VIBE~2"
Ameisenbär,4,2,Natur & Tiere,6,"Termitenhügel~A_TARGET_VIBE~3,Schnauze~A_TARGET_VIBE~3,Zunge~A_TARGET_VIBE~3,Savanne~A_TARGET_VIBE~3,Krallen~A_TARGET_VIBE~3,Dämmerung~A_TARGET_VIBE~3"
Amsel,2,2,Natur & Tiere,4,"Garten~A_TARGET_VIBE~2,Morgensang~A_TARGET_VIBE~3,Hecke~A_TARGET_VIBE~2,Beere~A_TARGET_VIBE~2"
Anakonda,4,2,Natur & Tiere,6,"Sumpf~A_TARGET_VIBE~3,Würgen~A_TARGET_VIBE~3,Schuppen~A_TARGET_VIBE~3,Ufer~A_TARGET_VIBE~3,Tarnung~A_TARGET_VIBE~3,Terrarium~A_TARGET_VIBE~3"
Antilope,2,2,Natur & Tiere,4,"Herde~A_TARGET_VIBE~2,Savanne~A_TARGET_VIBE~2,Flucht~A_TARGET_VIBE~2,Weide~A_TARGET_VIBE~2"
Apfel,2,1|2,Essen & Trinken|Natur & Tiere,4,"Schale~A_TARGET_VIBE~2,Kerngehäuse~A_TARGET_VIBE~3,Most~A_TARGET_VIBE~2,Ernte~A_TARGET_VIBE~2"
Armadillo,3,2,Natur & Tiere,5,"Panzer~A_TARGET_VIBE~3,Wüste~A_TARGET_VIBE~2,Bau~A_TARGET_VIBE~2,Nachtaktiv~A_TARGET_VIBE~3,Graben~A_TARGET_VIBE~2"
Auerhahn,4,2,Natur & Tiere,6,"Balz~A_TARGET_VIBE~3,Laub~A_TARGET_VIBE~3,Wald~A_TARGET_VIBE~3,Horst~A_TARGET_VIBE~3,Feder~A_TARGET_VIBE~3,Dämmerung~A_TARGET_VIBE~3"
Axolotl,4,2,Natur & Tiere,6,"Teich~A_TARGET_VIBE~3,Feuchte~A_TARGET_VIBE~3,Laich~A_TARGET_VIBE~3,Kiemen~A_TARGET_VIBE~3,Aquarium~A_TARGET_VIBE~3,Moos~A_TARGET_VIBE~3"
Barsch,3,1|2,Essen & Trinken|Natur & Tiere,5,"Angel~A_TARGET_VIBE~2,Schuppe~A_TARGET_VIBE~3,Laich~A_TARGET_VIBE~2,Ufer~A_TARGET_VIBE~2,Gräte~A_TARGET_VIBE~2"
Basilisk,4,2,Natur & Tiere,6,"Sonnplatz~A_TARGET_VIBE~3,Tarnung~A_TARGET_VIBE~3,Schuppen~A_TARGET_VIBE~3,Wärmelampe~A_TARGET_VIBE~3,Zunge~A_TARGET_VIBE~3,Terrarium~A_TARGET_VIBE~3"
Baummarder,4,2,Natur & Tiere,6,"Kletterast~A_TARGET_VIBE~3,Dämmerung~A_TARGET_VIBE~3,Fell~A_TARGET_VIBE~3,Spur~A_TARGET_VIBE~3,Revier~A_TARGET_VIBE~3,Bau~A_TARGET_VIBE~3"
Biene,1,2,Natur & Tiere,4,"Honig~A_TARGET_VIBE~2,Wabe~A_TARGET_VIBE~2,Imkerei~A_TARGET_VIBE~2,Pollen~A_TARGET_VIBE~2"
Birke,2,2,Natur & Tiere,4,"Rinde~A_TARGET_VIBE~2,Laub~A_TARGET_VIBE~2,Jahresring~A_TARGET_VIBE~3,Schattig~A_TARGET_VIBE~3"
Birne,2,1|2,Essen & Trinken|Natur & Tiere,4,"Ernte~A_TARGET_VIBE~2,Saft~A_TARGET_VIBE~2,Kern~A_TARGET_VIBE~2,Kuchen~A_TARGET_VIBE~2"
Blatt,2,2,Natur & Tiere,4,"Laub~A_TARGET_VIBE~2,Pollen~A_TARGET_VIBE~2,Schattig~A_TARGET_VIBE~3,Saftstrom~A_TARGET_VIBE~3"
Blitz,3,11,Wetter & Himmel,5,"Warnung~A_TARGET_VIBE~3,Horizont~A_TARGET_VIBE~3,Glühen~A_TARGET_VIBE~2,Schatten~A_TARGET_VIBE~3,Dunst~A_TARGET_VIBE~3"
Blindschleiche,3,2,Natur & Tiere,5,"Häutung~A_TARGET_VIBE~3,Schuppen~A_TARGET_VIBE~3,Sonnplatz~A_TARGET_VIBE~2,Tarnung~A_TARGET_VIBE~3,Sand~A_TARGET_VIBE~2"
Bluthänfling,4,2,Natur & Tiere,6,"Zwitschern~A_TARGET_VIBE~3,Hecke~A_TARGET_VIBE~3,Nistkasten~A_TARGET_VIBE~3,Feder~A_TARGET_VIBE~3,Laub~A_TARGET_VIBE~3,Garten~A_TARGET_VIBE~3"
Boa,3,2,Natur & Tiere,5,"Würgen~A_TARGET_VIBE~3,Schuppen~A_TARGET_VIBE~3,Terrarium~A_TARGET_VIBE~2,Tarnung~A_TARGET_VIBE~3,Sonnplatz~A_TARGET_VIBE~2"
Bock,3,2,Natur & Tiere,5,"Herde~A_TARGET_VIBE~2,Horn~A_TARGET_VIBE~3,Weide~A_TARGET_VIBE~2,Stall~A_TARGET_VIBE~2,Flucht~A_TARGET_VIBE~2"
Brahminy,4,2,Natur & Tiere,6,"Thermik~A_TARGET_VIBE~3,Kreisflug~A_TARGET_VIBE~3,Feder~A_TARGET_VIBE~3,Ansitz~A_TARGET_VIBE~3,Beute~A_TARGET_VIBE~3,Klaue~A_TARGET_VIBE~3"
Brandung,3,2|11,Natur & Tiere|Wetter & Himmel,5,"Gischt~A_TARGET_VIBE~3,Küste~A_TARGET_VIBE~2,Salzluft~A_TARGET_VIBE~3,Felsen~A_TARGET_VIBE~3,Rauschen~A_TARGET_VIBE~3"
Bremse,3,2,Natur & Tiere,5,"Saugrüssel~A_TARGET_VIBE~3,Stich~A_TARGET_VIBE~3,Krabbeln~A_TARGET_VIBE~3,Schwarm~A_TARGET_VIBE~2,Panzer~A_TARGET_VIBE~3"
Brennnessel,4,2,Natur & Tiere,6,"Jucken~A_TARGET_VIBE~3,Stich~A_TARGET_VIBE~3,Wiese~A_TARGET_VIBE~3,Tee~A_TARGET_VIBE~3,Handschuh~A_TARGET_VIBE~3,Brennhaare~A_TARGET_VIBE~3"
