word,difficulty,genre_ids,genres,hints
Abgabetermin,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Poststempel~A_TARGET_VIBE~2,Abend~A_TARGET_VIBE~2,Erinnerung~A_TARGET_VIBE~2,Kalender~A_TARGET_VIBE~3,ToDo~A_TARGET_VIBE~3,Rückfrage~A_TARGET_VIBE~3"
Ablage,3,0|9,Alltag & Gegenstände|Gesellschaft & Beruf,"Nachweis~A_TARGET_VIBE~2,Hängemappe~A_TARGET_VIBE~2,Scan~A_TARGET_VIBE~2,Registratur~A_TARGET_VIBE~3,Locher~A_TARGET_VIBE~3,Termin~A_TARGET_VIBE~3"
Ablehnung,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Protokoll~A_TARGET_VIBE~2,Stimmzettel~A_TARGET_VIBE~2,Veto~A_TARGET_VIBE~2,Widerspruch~A_TARGET_VIBE~2,Unterschrift~A_TARGET_VIBE~3,Büro~A_TARGET_VIBE~3"
Abmahnung,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Unterschrift~A_TARGET_VIBE~2,Betriebsrat~A_TARGET_VIBE~3,Abmahnstufe~A_TARGET_VIBE~3,Gespräch~A_TARGET_VIBE~3,Klausel~A_TARGET_VIBE~4,E-Mail~A_TARGET_VIBE~4"
Abmeldung,2,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Bestätigung~A_TARGET_VIBE~2,PIN~A_TARGET_VIBE~2,Ausweis~A_TARGET_VIBE~2,Login~A_TARGET_VIBE~2,Anlage~A_TARGET_VIBE~3,Sachbearbeiter~A_TARGET_VIBE~3"
Abschied,2,9|12|13,Gesellschaft & Beruf|Gefühle & Abstraktes|Feste & Jahreszeiten,"Toast~A_TARGET_VIBE~2,Garderobe~A_TARGET_VIBE~2,Neuanfang~A_TARGET_VIBE~2,Dank~A_TARGET_VIBE~2,Umarmung~A_TARGET_VIBE~3,Sachbearbeiter~A_TARGET_VIBE~3"
Abstimmung,4,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Beschluss~A_TARGET_VIBE~2,Tagesordnung~A_TARGET_VIBE~3,Enthaltung~A_TARGET_VIBE~3,Runde~A_TARGET_VIBE~3,Zählung~A_TARGET_VIBE~4,Posteingang~A_TARGET_VIBE~4"
Abteilung,3,9|12,Gesellschaft & Beruf|Gefühle & Abstraktes,"Strategie~A_TARGET_VIBE~2,Organigramm~A_TARGET_VIBE~2,Chefetage~A_TARGET_VIBE~2,Abstimmung~A_TARGET_VIBE~3,Teamspirit~A_TARGET_VIBE~3,E-Mail~A_TARGET_VIBE~3"
Akte,3,0|9,Alltag & Gegenstände|Gesellschaft & Beruf,"Ordner~A_TARGET_VIBE~2,Nachweis~A_TARGET_VIBE~2,Ablagefach~A_TARGET_VIBE~2,Sortierung~A_TARGET_VIBE~3,Scan~A_TARGET_VIBE~3,E-Mail~A_TARGET_VIBE~3"
Aktenvernichter,4,0|9,Alltag & Gegenstände|Gesellschaft & Beruf,"Papierkorb~A_TARGET_VIBE~2,Hängemappe~A_TARGET_VIBE~3,Archiv~A_TARGET_VIBE~3,Schrank~A_TARGET_VIBE~3,Scan~A_TARGET_VIBE~4,Registratur~A_TARGET_VIBE~4"
