word,difficulty
Aal,3
Abbildung,3
Abbildungskern,3
Abdeckhaube,4
Abdeckplane,3
Abend,1
Abenddämmerung,2
Abendrot,3
Abenteuer,2
Abfahrt,2
Abfalleimer,2
Abfalltrennung,4
Abfertigung,4
Abflug,3
Abflughalle,3
Abflugtafel,3
Abfluss,2
Abflussrohr,3
Abgabe,2
Abgabetermin,3
Abgeschlossenheit,3
Abkürzung,3
Ablage,3
Ablass,4
Ablehnung,2
Ableitung,2
Ableitungsoperator,3
Ableitungsregel,3
Ablenkung,2
Abmahnung,4
Abmeldung,2
Abneigung,3
Abonnement,3
Abonnementpreis,3
Abpfiff,3
Abreise,2
Abscheu,3
Abschied,2
Abschluss,3
Abschlussfeier,3
Abschätzung,2
Abseits,3
Absicht,2
Abstand,2
Abstellkammer,3
Abstellraum,2
Abstieg,3
Abstimmung,4
Abstraktion,3
Abstrich,3
Absturz,2
Abtei,3
Abteil,3
Abteilung,3
Abtropfgitter,4
Abtropfmatte,3
Abtropfschale,3
Abwaschbürste,3
Abwasserrohr,4
Abwehr,3
Abwesenheit,2
Abzieher,4
Abzugshaube,4
Abzählbarkeit,3
Achse,1
Achtsamkeit,4
Achtung,1
Acrylfarbe,3
Adapter,2
Addition,1
Adel,3
Adelshaus,3
Adipositas,4
Adler,3
Administrator,2
Adrenalin,3
Adressbuch,3
Advent,3
Adventsfenster,4
Adventsgesteck,3
Adventskalender,2
Adventskonzert,4
Adventskranz,3
Adventslied,4
Adventssonntag,3
Adventszeit,2
Aerobic,4
Affe,1
Agaragar,5
Ahne,2
Ahnengalerie,3
Ahnenkult,4
Ahnentafel,4
Ahnung,2
Ahorn,2
Aikido,4
Aioli,3
Ajvar,3
Akkord,3
Akkordeon,3
Akku,1
Akkuschrauber,4
Akkustand,2
Akrobat,3
Akt,2
Akte,3
Aktenmappe,4
Aktenordner,3
Aktenvernichter,4
Aktenzeichen,4
Aktivierung,3
Aktivierungscode,3
Aktualisierung,3
Akustik,3
Akzeptanz,3
Albatros,4
Alchemie,4
Alge,3
Algebra,2
Algorithmus,3
Alkohol,2
Allee,3
Allegorie,4
Allergie,3
Allergietest,3
Allerheiligen,4
Allzweckreiniger,4
Almwiese,4
Alpaka,3
Alptraum,2
Alraune,4
Altar,3
Altartuch,3
Altbauviertel,4
Altertum,2
Altglas,3
Altruismus,4
Altschnee,3
Altstadt,3
Alufolie,2
Alveole,4
Amaranth,4
Ambosswolke,4
Ambulanz,3
Ameise,1
Ameisenbär,4
Amnestie,4
Amphore,3
Amsel,3
Amt,2
Amulett,3
Anakonda,3
Analyse,3
Analysis,2
Anamnese,4
Ananas,2
Anatomie,3
Anbieter,2
Anemometer,4
Anerkennung,3
Anfangsbedingung,3
Anfangswert,3
Anfangswertproblem,4
Angebot,3
Angeln,2
Angriff,2
Angst,1
Angststörung,4
Anhang,2
Animation,3
Anis,4
Ankerplatz,4
Ankunft,2
Ankunftshalle,3
Ankunftstafel,3
Anlegestelle,4
Anleitung,2
Anmeldung,2
Anmut,4
Annexion,4
Anpassung,3
Anpfiff,3
Anreise,2
Anruf,1
Ansage,2
Anschluss,2
Ansehen,2
Anspannung,3
Anspruch,2
Anstand,2
Ansteckung,2
Anstoß,2
Anstoßen,3
Anteilnahme,3
Antenne,3
Antibiotikum,3
Antigen,4
Antike,2
Antikörper,4
Antilope,4
Antipathie,4
Antrag,3
Antrieb,2
Anwendung,3
Anwesenheit,2
Anwesenheitsliste,4
Anzeige,2
Anzeigetafel,3
Anziehung,3
Anzug,2
Apathie,5
Apfel,1
Apfelernte,3
Apfelkuchen,2
Apfelmus,1
Apfelsaft,1
Apfelschorle,3
Apfelwein,3
Apokalypse,4
Apotheke,2
Applaus,2
Approximation,3
Approximationsfehler,3
Aprikose,3
April,1
Aquarell,4
Arbeit,1
Arbeitgeber,3
Arbeitnehmer,3
Arbeitsamt,3
Arbeitsanweisung,4
Arbeitsbeginn,3
Arbeitsbelastung,4
Arbeitsende,3
Arbeitsgericht,4
Arbeitskleidung,3
Arbeitslosigkeit,3
Arbeitsmarkt,3
Arbeitsplatz,2
Arbeitsplatzsicherheit,4
Arbeitsspeicher,3
Arbeitsvermittlung,4
Arbeitsvertrag,3
Arbeitsweg,2
Arbeitszeit,2
Arbeitszeugnis,4
Arbeitszimmer,3
Arbeitszufriedenheit,4
Archipel,3
Architektur,3
Archiv,2
Archivierung,4
Archäologie,4
Argument,2
Arie,4
Arithmetik,2
Armadillo,5
Armatur,4
Armband,2
Armbrust,3
Arpeggio,4
Arroganz,3
Artefakt,3
Arterie,3
Arthritis,3
Arthrose,3
Artischocke,4
Artistik,3
Arznei,2
Arzt,1
Arzttermin,2
Aschenbecher,2
Aschermittwoch,4
Assel,3
Assistent,2
Ast,1
Asteroid,3
Asteroidengürtel,4
Asthma,3
Astrologie,4
Astronaut,2
Astronomie,3
Asymptote,3
Atelier,2
Atemschutz,3
Atemweg,3
Atlas,3
Atmosphäre,2
Atmung,3
Atoll,4
Atom,3
Attraktion,3
Aubergine,3
Audiodatei,3
Audiosignal,3
Aue,4
Auerhahn,5
Aufbruch,2
Aufführung,2
Aufgabe,1
Aufgabenliste,2
